"Time [s]";"Entry Name";"Entry Value";
0.00;"Category";"Adult";
0.00;"CNAP Software Version";"5.2.17";
0.00;"Cuff Controller Serial No";"8201121013";
0.00;"Cuff Serial No";"BF000005-C147DE33";
0.00;"Cuff Size";"Small";
0.00;"Name";"NA";
0.00;"ID#";"NA";
0.00;"Gender";"NA";
0.00;"Monitor Version";"CNAP Monitor 500at + HD";
0.00;"Software Version";"v5.2.18 CE";
0.00;"CNAP Monitor Serial No";"050020261540";
0.00;"CNAP Interval";"01:00:00";
0.00;"NBP Measurement Type";"60 min";
0.00;"Beat Averaging";"Off";
0.00;"Start Recording";;
12.80;"Name";"GA1";
261.27;"Elapsed Cuff Lifetime";"104:58:08";
261.27;"Total Cuff Lifetime";"150:00:00";
261.27;"Stop Recording";;
