session_id,elapsed_s,sample_index,effective_rate_hz,waveform_label,wave_bpm,peak_like,trough_like
cnap_20260402_173417,0.999469292,354,0.000000000,ch2,138.728323699,199.000000000,196.000000000
cnap_20260402_173417,2.000384834,612,0.000000000,ch2,131.534569983,199.071428571,195.846153846
cnap_20260402_173417,3.000676709,896,0.000000000,ch2,123.870967742,199.117647059,195.875000000
cnap_20260402_173417,3.998382709,1087,0.000000000,ch2,119.840213049,199.125000000,195.866666667
cnap_20260402_173417,5.003400000,1384,0.000000000,ch2,124.031007752,199.117647059,196.000000000
cnap_20260402_173417,6.010191625,1616,0.000000000,ch2,122.137404580,199.058823529,196.125000000
cnap_20260402_173417,7.011150000,1933,0.000000000,ch2,126.649076517,199.058823529,196.187500000
cnap_20260402_173417,8.014074584,2236,0.000000000,ch2,128.787878788,199.000000000,196.000000000
cnap_20260402_173417,9.016339084,2591,0.000000000,ch2,133.858267717,199.055555556,196.000000000
cnap_20260402_173417,10.018183792,2921,0.000000000,ch2,121.982210928,199.058823529,196.000000000
cnap_20260402_173417,11.020730917,3305,0.000000000,ch2,132.812500000,199.111111111,196.000000000
cnap_20260402_173417,12.023443125,3683,0.000000000,ch2,134.210526316,199.111111111,196.058823529
cnap_20260402_173417,13.025216250,4011,0.000000000,ch2,136.000000000,199.111111111,196.117647059
cnap_20260402_173417,14.027278834,4336,0.000000000,ch2,139.534883721,199.105263158,196.111111111
cnap_20260402_173417,15.027977167,4626,0.000000000,ch2,134.742404227,199.111111111,196.058823529
cnap_20260402_173417,16.032570834,4923,0.000000000,ch2,128.514056225,199.058823529,195.937500000
cnap_20260402_173417,17.039323292,5260,0.000000000,ch2,121.982210928,199.176470588,195.875000000
cnap_20260402_173417,18.041153042,5559,0.000000000,ch2,122.292993631,199.176470588,196.000000000
cnap_20260402_173417,19.054612125,5950,0.000000000,ch2,127.320954907,199.176470588,196.062500000
cnap_20260402_173417,20.051520125,6322,0.000000000,ch2,136.000000000,199.111111111,196.000000000
cnap_20260402_173417,21.065094459,6695,0.000000000,ch2,134.742404227,199.055555556,196.000000000
cnap_20260402_173417,22.084395292,6928,0.000000000,ch2,134.210526316,199.055555556,196.000000000
